recv_time,con_type,gid,Fno,map_ver,Mcd,drm_mc,drm_cn1,drm_cn2,drm_rn,aprc_time,leav_time,jam,tt,drm_speed,drm_rl,next_mc,next_cn1,next_cn2,next_rn,Pattern,blink_info,,,,,,,
00:00.0,1,a85321aba511a128,1,FFFFFF,0,614016,510,636,756,58:15.0,58:56.0,12,41,17.5,199,0,0,0,0,11,31,13322007,41,1,,,,
02:07.0,1,a85321aba511a128,1,FFFFFF,0,614016,577,171,-297,58:41.0,58:41.1,12,0.1,36,1,614016,171,187,296,22,31,13292548,8,0,,,,
02:07.0,1,a85321aba511a128,1,FFFFFF,0,614016,171,187,296,58:41.1,58:41.8,12,0.7,82.3,16,614016,187,191,324,22,31,13292548,8,0,,,,
02:07.0,1,a85321aba511a128,1,FFFFFF,0,614016,187,191,324,58:41.8,58:42.0,12,0.2,90,5,0,0,0,0,22,31,13292548,8,0,,,,
02:07.0,1,a85321aba511a128,1,FFFFFF,0,614016,160,576,280,00:08.0,00:58.2,12,50.2,26.9,375,614016,576,577,839,14,31,13292666,57,0,31,13292724,24,0
02:07.0,1,a85321aba511a128,1,FFFFFF,0,614016,576,577,839,00:58.2,00:59.0,12,0.8,58.5,13,0,0,0,0,14,31,13292666,57,0,31,13292724,24,0
08:08.0,1,a12b2aaba428a128,1,FFFFFF,0,533935,1672,1629,-2383,59:26.0,59:35.0,12,9,42,105,0,0,0,0,21,27,85503526,25,1,,,,
08:08.0,1,a12b2aaba428a128,1,FFFFFF,0,533935,1616,1615,-2369,00:12.0,00:12.4,12,0.4,63,7,533935,1615,1606,-2355,2,27,85509119,16,0,,,,
08:08.0,1,a12b2aaba428a128,1,FFFFFF,0,533935,1615,1606,-2355,00:12.4,00:15.8,12,3.4,54,51,533935,1606,1607,2354,2,27,85509119,16,0,,,,
08:08.0,1,a12b2aaba428a128,1,FFFFFF,0,533935,1606,1607,2354,00:15.8,00:17.0,12,1.2,54,18,533935,1607,1656,2356,2,27,85509119,16,0,,,,
08:08.0,1,a12b2aaba428a128,1,FFFFFF,0,533935,1607,1656,2356,00:18.0,00:32.9,12,14.9,37.7,156,533935,1656,5699,2423,4,27,85509136,51,0,27,85509188,8,0
08:08.0,1,a12b2aaba428a128,1,FFFFFF,0,533935,1656,5699,2423,00:32.9,00:57.0,12,24.1,5.2,35,533935,3147,5704,4195,4,27,85509136,51,0,27,85509188,8,0